,id,sentence,normalized_sent_attention,emotion,tags
24,f000010,"in december 2017, we were the first to describe normalization trends in flash and since then weve enhanced our disclosures to provide greater insight into how we are performing in both flash and hard drives.",0.77702486,Strategical,normalization flash insight 
25,f000011,"second, from a product perspective, we are entering calendar 2019 with the strongest product portfolio in our history.",0.377771197,Strategical,flash transition layer bics4 technology 
26,f000011,we expect to further enhance our portfolio throughout the year.,0.394640798,Strategical,flash transition layer bics4 technology 
27,f000011,"in flash, we continue to lead the industrys transition to 96 layer bics4 technology.",0.820989899,Strategical,flash transition layer bics4 technology 
28,f000011,we expect broad implementation of this technology across our product portfolio in calendar 2019. we have 96 layer products in customer hands today.,0.406769065,Strategical,flash transition layer bics4 technology 
29,f000012,"in the december quarter of calendar 2019, we expect bics4 to achieve bics mix crossover with the bics3 from a supply standpoint.",0.416200139,Strategical,controller firmware mobile development enterprise 
30,f000012,the product development investments we have made are yielding results.,0.385444627,Strategical,controller firmware mobile development enterprise 
31,f000012,"specifically, we have completed development of internal controller and firmware architectures that can be leveraged across our portfolio in client, enterprise, mobile and embedded applications.",0.702107549,Strategical,controller firmware mobile development enterprise 
32,f000012,we now address all the key categories for the enterprise ssd market.,0.442026896,Strategical,controller firmware mobile development enterprise 
33,f000013,"in addition, we will be sampling our enterprise nvme product with bics4 by mid-2019.",0.429684399,Neutral,position success client portfolio market 
34,f000013,we have a significant market position with our nvme client portfolio and expect to further capitalize on this success.,0.692029553,Neutral,position success client portfolio market 
35,f000013,we will be shipping our mainstream client ssd based on bics4 in the march quarter.,0.455131411,Neutral,position success client portfolio market 
36,f000014,our embedded solutions are now shipping to all of the top global smartphone manufacturers enabled by our expanding portfolio of ufs products.,0.529322642,Strategical,surveillance flash growth 
37,f000014,"surveillance, automotive and gaming are attractive growth opportunities for flash and we are already making inroads in these areas.",0.695000387,Strategical,surveillance flash growth 
38,f000015,"in hard drives we continue to provide the enterprise market with leading aerial densities, enabling the highest capacity points and most cost-effective solutions.",0.769301619,Strategical,capacity cost enterprise market 
39,f000015,we have had an exceptionally smooth qualification process for our 14-terabyte helium drive and expect customer qualification activities for this industry-leading offering to be completed at virtually all of our customers in the current quarter.,0.468915927,Strategical,capacity cost enterprise market 
40,f000015,weve already commenced revenue shipments for several customers.,0.375162487,Strategical,capacity cost enterprise market 
41,f000016,last quarter we announced a 15 terabyte offering at our investor day and described our plans for a 16-terabyte product based on energy assist technology.,0.370950398,Analytical,momentum center product quarter 
42,f000016,"this will be followed by an 18-terabyte product, details of which will be shared later this calendar year.",0.36921912,Analytical,momentum center product quarter 
43,f000016,data center systems continue to gain momentum across all of its product offerings in the quarter.,0.988123008,Analytical,momentum center product quarter 
44,f000017,"as weve previously indicated, we are taking actions to right-size our factory production levels while ensuring we maintain our competitiveness and technology leadership.",0.685589112,Strategical,production factory competitiveness size leadership 
45,f000017,in flash we are executing on the previously announced changes.,0.536588804,Strategical,production factory competitiveness size leadership 
46,f000019,hi sherry.,1,Neutral,hi sherry 
47,f000021,put me back on the line im going to begin the call.,1,Neutral,im line call 
48,f000022,"youre in the line, sir.",0.7686253,Neutral,youre line 
49,f000022,we can hear you now.,0.47862,Neutral,youre line 
50,f000025,okay.,0.403916275,Neutral,side 
51,f000025,were okay on your side now?,0.910781427,Neutral,side 
52,f000028,all right.,0.377203364,Neutral,sorry im bit script 
53,f000028,"well, i dont know where we cut off.",0.412609778,Neutral,sorry im bit script 
54,f000028,"anyway im going to back up - sorry about that, im going to back a little bit on my script.",0.869552812,Neutral,sorry im bit script 
55,f000029,"as we have previously indicated, we are taking actions to right-size our factory production levels while ensuring we are maintaining our competitiveness and technology leadership.",0.512243191,Strategical,wafer output flash bit calendar 
56,f000029,"in flash, we are executing on the previously announced changes to our wafer output levels to reduce our bit supply growth for calendar 2019.",0.718173414,Strategical,wafer output flash bit calendar 
57,f000030,we are also making adjustments to the pace of our capital investments in flash in order to align of our bit output with our market demand.,0.9613433,Analytical,order flash output pace bit 
58,f000030,"additionally, we have accelerated the closure of our kuala lumpur hard drive manufacturing facility by almost three quarters.",0.382672289,Analytical,order flash output pace bit 
59,f000031,"lastly, we are implementing substantial cost and expense reductions across the company.",0.406160238,Analytical,cost gaap 
60,f000031,"in total, we are targeting $800 million in annualized reductions in non-gaap cost and expenses.",0.774091,Analytical,cost gaap 
61,f000031,mike and mark will provide further details in their prepared remarks.,0.430448911,Analytical,cost gaap 
62,f000032,the long-term growth opportunities for our business remain unchanged.,0.46353343,Analytical,mobility machine intelligence iot 
63,f000032,"transformative trends such as artificial intelligence, machine learning, autonomous vehicles, mobility, and iot will continue to drive massive amounts of data that needs to be captured, preserved, accessed, and transformed.",0.79364166,Analytical,mobility machine intelligence iot 
64,f000033,western digital remains well-positioned to further capitalize on the fundamental opportunities associated with the rapid growth in the volume and value of data.,0.661393142,Strategical,digital volume value growth 
65,f000033,i want to thank the western digital team and all our partners for their ongoing support.,0.556219014,Strategical,digital volume value growth 
66,f000034,"with that, i will now ask mike to share our business highlights.",1,Neutral,mike share business i 
67,f000035,"thank you, steve and good afternoon everyone.",1,Neutral,afternoon thank everyone 
68,f000036,we have spent the last two years aggressively investing and building our architectural platforms to power product line expansion.,0.645752198,Strategical,power expansion line product 
69,f000036,we are now at the point where these platforms and the products launched from these platforms are ramping as we enter 2019. the results of these investments gives us the confidence that we have the strongest portfolio in the companys history.,0.56969135,Strategical,power expansion line product 
70,f000037,"before i get into the details of our december quarter performance, id like to comment on how we intend to capitalize on the strength of our expanding portfolio throughout the calendar year and beyond.",1,Strategical,id strength portfolio performance calendar 
71,f000038,"our architectural platforms consisted of a combination of industry-leading-based technologies, internally developed controllers, and the corresponding firmware.",0.442741946,Strategical,test producer flash storage manufacturing 
72,f000038,the underlying storage technology whether flash or the hard drive heads and media and the manufacturing and test processes to mass-producer products with high yields and industry-leading quality.,0.830911651,Strategical,test producer flash storage manufacturing 
73,f000039,we have developed our product portfolio to allow us to increase our participation and differentiated end markets that have strong growth prospects.,0.421568456,Strategical,marketing market 
74,f000039,"we are also strengthening our market-facing capabilities across the sales, marketing, and go-to-market organizations.",0.872644611,Strategical,marketing market 
75,f000040,these key ingredients are allowing us to innovate and quickly bring products to our targeted end markets working collaboratively with our customers in the broader ecosystem.,0.709018127,Strategical,ecosystem end 
76,f000040,we are now in a position to drive greater participation in higher value markets and expect to corresponding improvement in the quality of our revenue throughout 2019. i will illustrate with a few important achievements today.,0.518857596,Strategical,ecosystem end 
77,f000041,for the data center we began qualifications of our nvme ssd product in the december quarter and due to stronger customer pull we expect to ramp this product for the meaningful revenue by the middle of this calendar year.,0.476418713,Strategical,ip ssd platform enterprise manner 
78,f000041,"leveraging our enterprise architectural platform and the associated ip blocks, we will be able to expand our enterprise ssd product portfolio throughout 2019 in a cost-effective and predictable manner.",0.739138365,Strategical,ip ssd platform enterprise manner 
79,f000041,this includes shipping bics4 based products to customers within this calendar year.,0.384323092,Strategical,ip ssd platform enterprise manner 
80,f000042,"in capacity enterprise, we are focused our investments to build upon a highly successful helium technology platform, which has become an industry standard.",0.565194106,Happy,introduction ramp leadership position drive 
81,f000042,we continue to maintain our leadership position as demonstrated by the ongoing ramp of our 14-terabyte hard drive and the introduction of our 16-terabyte hard drive later in the calendar year.,0.650890441,Happy,introduction ramp leadership position drive 
82,f000043,"our position in the midrange capacity enterprise market continues to strengthen with the ramp of our cost optimized 4 terabyte to 8 terabyte products, fueling customer breadth and geographic penetration.",1,Happy,midrange capacity enterprise ramp breadth 
83,f000044,we continue to capitalize on our industry-leading client ssd platform with products spanning from high performance gaining solutions to cost optimized mainstream offerings.,0.685151249,Happy,ssd industry client platform mainstream 
84,f000044,all with the quality and reliability customers expect from western digital.,0.509231531,Happy,ssd industry client platform mainstream 
85,f000044,this platform will enable exciting derivative products which will announce throughout this year.,0.387890636,Happy,ssd industry client platform mainstream 
86,f000045,"in mobile and embedded, we will further expand our presence within top-tier accounts given our complete portfolio of products to address all categories of this market.",0.47004734,Strategical,emmc base design customer smartphone 
87,f000045,weve got it additional design wins with our emmc and ufs solutions further expanding our customer base and enhancing our position among the top five smartphone manufacturers.,0.782643384,Strategical,emmc base design customer smartphone 
88,f000046,"were also successfully developing leading embedded solutions for automotive, connected home, and surveillance categories.",0.622474126,Strategical,surveillance home 
89,f000046,"this is being illustrated through several of the product announcements, weve made in the second half of 2018 and expect to make in the coming quarters.",0.383434117,Strategical,surveillance home 
90,f000046,we are realizing the benefits of two years of accelerated product r&d investments already in terms of greater participation and higher value areas of the market and a broadening customer base.,0.567020785,Strategical,surveillance home 
91,f000047,i will now provide additional details on some of the near term actions we are taking.,0.384087862,Strategical,proportion venture reduction way deployment 
92,f000047,we previously announced the reduction to wafer starts for a proportion of the flash joint venture along with the way deployment of the capital equipment.,0.913759049,Strategical,proportion venture reduction way deployment 
93,f000047,the magnitude of these actions is a planned reduction of 10% to 15% of our bid output in calendar 2019.,0.385610421,Strategical,proportion venture reduction way deployment 
94,f000048,"as the year progresses, we will continue to assess market conditions and evaluate the need to make further adjustments to right size our inventory.",0.783259397,Strategical,need size market year inventory 
95,f000048,we are also accelerating our kuala lumpur facility closure time line by almost three quarters along with rationalizing other hdd manufacturing costs.,0.469677661,Strategical,need size market year inventory 
96,f000049,"in terms of our second quarter results, revenue in each of our end markets declined on year-over-year basis due to a combination of lower demand and aggressive flash pricing conditions despite healthy growth in flash bits sold.",0.847906763,Strategical,flash pricing basis combination growth 
97,f000049,"we maintain our leadership position across our g-tech, sandisk and wd brands in our client solutions portfolio.",0.3862338,Strategical,flash pricing basis combination growth 
98,f000049,we grew up presence in client ssds during the quarter and delivered solid performance on differentiated form factor devices such as ixpand.,0.413249808,Strategical,flash pricing basis combination growth 
99,f000050,demand elasticity contributed to a strong 30% year-over-year increase and average capacity in the flash portion of our client solutions portfolio.,0.523581584,Happy,term smartphone demand market client 
100,f000050,"within client devices, while near term demand trends in the smartphone market are soft.",0.633193299,Happy,term smartphone demand market client 
101,f000050,our view on the longer term shift towards higher average capacities remains unchanged.,0.40821632,Happy,term smartphone demand market client 
102,f000051,we achieved excellent momentum in our client ssd portfolio in the quarter.,0.433453098,Happy,mix gigabyte increase ssd capacity 
103,f000051,average capacity for client ssd grew over 60% year-over-year in the december quarter of fueled by an increase mix of our 512 gigabyte ssd at our key customers.,0.613846929,Happy,mix gigabyte increase ssd capacity 
104,f000051,for the first time our client compute ssd revenue exceeded client compute hdd revenue.,0.50863804,Happy,mix gigabyte increase ssd capacity 
105,f000052,"in data center, devices and solutions we have maintained our position as a leader in aerial density with the highest capacity hdd products.",0.709978743,Happy,density hdd leader capacity position 
106,f000052,as steve described the production ramp of a 14-terabyte helium drive has progressed smoothly.,0.44722336,Happy,density hdd leader capacity position 
107,f000052,we are pleased to have commenced product sampling of our first generation energy-assisted 16-terabyte drive and we are on-track to begin revenue shipments of this 8 flatter solution later this calendar year.,0.426227248,Happy,density hdd leader capacity position 
108,f000053,"in terms of the exabyte growth rate for capacity enterprise, as we previously stated we are seeing a moderation in the first half of calendar 2019. based on our customer discussions we continue to forecast year-over-year growth to resume in the second half of calendar 2019.",1,Happy,capacity rate enterprise growth moderation 
109,f000054,in data center systems we experienced excellent momentum with record quarterly bookings and new customer acquisitions in our intelliflash and activescale portfolios.,0.461993733,Strategical,storage platform record portfolio revenue 
110,f000054,we also had record revenue in our ultrastar portfolio of storage platform and servers.,0.796286648,Strategical,storage platform record portfolio revenue 
111,f000055,for the third fiscal quarter demand for our products is expected to be affected by many of the market factors we highlighted at our investor day.,0.398279088,Analytical,slowdown customer’s volatility demand inventory 
112,f000055,these include reduced demand for mobile handsets a continued slowdown investments by hyperscale customer’s inventory adjustments at certain customers and geopolitical volatility.,0.923672501,Analytical,slowdown customer’s volatility demand inventory 
113,f000056,"to conclude my remarks as we enter the new year, we are confident in the strength of our product portfolio and our evolving market position.",0.43504708,Strategical,term strength environment position market 
114,f000056,we fully expect to emerge from the current soft market environment in a position of strength and in the near term we are taking the necessary steps to effectively navigate current conditions.,0.845608345,Strategical,term strength environment position market 
115,f000057,i will now turn the call over to mark for the financial overview.,1,Neutral,overview call 
116,f000058,"thank you, mike and good afternoon everyone.",1,Neutral,afternoon thank everyone 
117,f000059,"revenue for the december quarter was $4.2 billion at the lower end of the guidance range, primarily due to a decline in flash, offsetting slightly better-than-anticipated hard drive revenue.",0.561252503,Analytical,average price bit gigabyte selling 
118,f000059,flash revenue was $2.2 billion with a sequential bit growth of 5% and a sequential average selling price per gigabyte declined of 18%.,0.65546156,Analytical,average price bit gigabyte selling 
119,f000060,hard drive revenue was $2 billion.,0.369884725,Strategical,capacity enterprise mix pricing range 
120,f000060,non-gaap gross margin in the quarter was 31.3% below the 32% to 33% guidance range due to a product mix for hard drives that included less capacity enterprise products and lower-than-expected flash pricing.,0.994578624,Strategical,capacity enterprise mix pricing range 
121,f000061,non-gaap gross margin for flash was 35% and for hard drives 27%.,0.976080805,Analytical,flash margin 
122,f000061,continued focus on operating expenses combined with lower variable compensation in the quarter resulted in total non-gaap operating expenses of $738 million.,0.375975834,Analytical,flash margin 
123,f000061,and non-gaap tax rate was 14.5% which was higher-than-expected.,0.368778279,Analytical,flash margin 
124,f000062,we also recorded a gaap-only charge for various tax-related accruals of $496 million consisting of the true up for the repatriation taxes related to tax reform and future withholding taxes related to decisions about permanent reinvestment in foreign jurisdictions.,0.425345892,Analytical,term cash 
125,f000062,these are not expected to result in the near term cash payments.,0.864894779,Analytical,term cash 
126,f000063,non-gaap eps was $1.45.,0.368020301,Strategical,drive plant kuala lumpur increase 
127,f000063,"operating cash flow for the december quarter was $469 million and free cash flow was $24 million, primarily driven by lower operating income and a sequential increase in the inventory.",0.370217256,Strategical,drive plant kuala lumpur increase 
128,f000063,"within inventory almost all of the sequential increase was driven by continued hard drive builds, due to the kuala lumpur plant closure.",0.993304956,Strategical,drive plant kuala lumpur increase 
129,f000064,"in the december quarter, we returned to $144 million in dividends to shareholders.",0.376638377,Analytical,revolver balance debt 
130,f000064,we did not repurchase any common stock during the quarter.,0.371335343,Analytical,revolver balance debt 
131,f000064,"however, we did repay in full our outstanding revolver balance and made scheduled principal payments reducing our overall debt balance by $537 million.",0.967654188,Analytical,revolver balance debt 
132,f000065,"at quarter end, we had $4.1 billion in cash, cash equivalents and available-for-sale securities and principal debt outstanding of $10.8 billion.",0.492840588,Analytical,split expense steve line cost 
133,f000065,"as steve noted earlier, we planned to reduce our annual non-gaap cost-of-goods sold and total non-gaap operating expense levels by combined $800 million evenly split between the two line items.",0.746447128,Analytical,split expense steve line cost 
134,f000066,"for cost-of-goods sold, we expect to see the full results of these efforts reflected by the end of the december quarter of 2019. and for operating expenses we expect to see the full results reflected within the september quarter of 2019.",1,Analytical,cost operating end quarter 
135,f000067,these planned actions are designed to reduce our base level of non-gaap operating expenses before variable compensation by $100 million per quarter including a normal level of variable compensations our new total non-gaap operating expense level for 13-week fiscal quarter would be approximately $740 million starting in the september 2019 quarter.,0.462162768,Strategical,september note quarter 
136,f000067,"for modeling purposes, please note that the september 2019 quarter will have 14 weeks instead of the normal 13 weeks.",0.795995409,Neutral,september note quarter 
137,f000068,i will now provide our guidance for the third fiscal quarter of 2019 on a non-gaap basis.,0.369155453,Analytical,margin 
138,f000068,we expect revenue in the range of $3.6 billion to $3.8 billion.,0.408392282,Analytical,margin 
139,f000068,gross margin of approximately 28%.,0.653727005,Analytical,margin 
140,f000068,"operating expenses between $760 million and $780 million, which reflect the normal payroll tax reset and other one-time items.",0.505165072,Analytical,margin 
141,f000069,interest and other expenses of approximately $105 million and effective tax rate of 15% to 17%.,0.590189637,Analytical,rate interest tax 
142,f000069,diluted shares of approximately 294 million.,0.529615264,Analytical,rate interest tax 
143,f000069,"as a result, we expect non-gaap earnings per share of $0.40 to $0.60.",0.432971154,Analytical,rate interest tax 
144,f000070,ill now turn the call over to the operator to begin the q&a session.,0.919771109,Neutral,ill operator session q call 
145,f000070,operator?,0.399968468,Neutral,ill operator session q call 
